technique,model,F1-Score,Processing Time,ROC AUC,Memory Usage,Precision,Recall
PCA,Naive Bayes,0.9298820325951349,0.0535428524017334,0.7869797225186766,1.515625,0.9230639768160327,0.9378818737270875
PCA,Naive Bayes,0.9334711786955108,0.0478818416595459,0.8264110756123535,1.48046875,0.9243034170075066,0.945010183299389
PCA,Naive Bayes,0.9318227112926564,0.07209157943725586,0.8207532142450791,1.4296875,0.9245273830463495,0.9419551934826884
PCA,SVM,0.9287944609650814,22.61151885986328,0.7734895892593013,15.15625,0.9065677096079741,0.9521384928716904
PCA,SVM,0.9138002663570916,19.933403491973877,0.8410052157420578,14.54296875,0.8872795865290088,0.9419551934826884
PCA,SVM,0.9408300050255243,20.727011680603027,0.6867063653914132,19.55078125,0.9221475354756284,0.960285132382892
PCA,SVM,0.9393236256780044,37.938836097717285,0.7146496815286624,20.13671875,0.9201927982711205,0.9592668024439919
PCA,SVM,0.9393236256780044,28.404080629348755,0.605095541401274,16.765625,0.9201927982711205,0.9592668024439919
PCA,SVM,0.9287944609650814,21.55927801132202,0.6236887017863239,15.43359375,0.9065677096079741,0.9521384928716904
PCA,SVM,0.9363125223852444,26.340333223342896,0.6320415400202635,19.4140625,0.9162895458372912,0.9572301425661914
PCA,SVM,0.921290339074044,20.749158143997192,0.7487386269644334,15.3125,0.89689772317188,0.9470468431771895
PCA,SVM,0.9378177978442966,28.404690504074097,0.8272206526528602,17.171875,0.9182401350583413,0.9582484725050916
PCA,SVM,0.9363125223852444,23.698854446411133,0.8598784194528876,16.52734375,0.9162895458372912,0.9572301425661914
PCA,MLP,0.9529007915895324,202.4200737476349,0.8657101183813303,2.46484375,0.9378600968139339,0.9684317718940937
PCA,MLP,0.9529007915895324,169.637109041214,0.817577422746854,2.5078125,0.9378600968139339,0.9684317718940937
PCA,MLP,0.9468610203993288,175.06706380844116,0.796138180721074,2.31640625,0.9299872242109499,0.9643584521384929
PCA,MLP,0.9423369350278005,170.17214727401733,0.8596398305084745,2.3046875,0.9241043466718655,0.9613034623217923
PCA,MLP,0.9363125223852444,176.94530987739563,0.8341945288753799,2.546875,0.9162895458372912,0.9572301425661914
PCA,MLP,0.9393236256780044,186.39784979820251,0.8027070063694267,2.5,0.9201927982711205,0.9592668024439919
